HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
1,,,,46,,0,5,9.9,N,45,13,45,6.7,0.07,0.08,  A1Vn,-0.012,-0.018,,-18
2,,,,,,0,5,3.8,S,0,30,11,6.29,1.1,1.02, gG9,0.045,-0.06,,14
3,33,,Psc,,,0,5,20.1,S,5,42,27,4.61,1.04,0.89,  K0IIIb,-0.009,0.089,0.014,-6
4,86,,Peg,,,0,5,42,N,13,23,46,5.51,0.9,,  G5III,0.045,-0.012,,-2
5,,,,61,,0,6,16,N,58,26,12,5.96,0.67,0.2,  G5V,0.263,0.03,0.047,-12
6,,,,,,0,6,19,S,49,4,30,5.7,0.52,0.05,  G1IV,0.565,-0.038,0.05,3
7,10,,Cas,,,0,6,26.5,N,64,11,46,5.59,-0.03,-0.19,  B9III,0.008,0,,0
8,,,,69,,0,6,36.8,N,29,1,17,6.13,0.75,0.33,  K0V,0.38,-0.182,0.067,-8
9,,,,,,0,6,50.1,S,23,6,27,6.18,0.38,0.05,  A7V,0.1,-0.045,,3
10,,,,,,0,7,18.2,S,17,23,11,6.19,0.14,0.1,  A6Vn,-0.018,0.036,,-9
11,,,,,,0,7,44.1,S,2,32,56,6.43,-0.14,-0.47,  B8IIIp,0.027,-0.002,,13
12,,,,89,,0,7,46.8,S,22,30,32,5.94,0.14,0.06,  A2Vp:,0.052,-0.044,,-13
13,,,,,,0,8,3.5,S,33,31,46,5.68,1.12,,  K1III,-0.037,0,,7
14,,,,,,0,8,12.1,S,2,26,52,6.07,1.38,1.14,  K2III+F,0.009,-0.003,,1
15,21,Alp,And,94,,0,8,23.3,N,29,5,26,2.06,-0.11,-0.46,  B8IVp,0.136,-0.163,0.032,-12
16,,,,,,0,8,17.4,S,8,49,26,5.99,1.04,0.83, gG8,-0.052,-0.033,,20
17,,,,,,0,8,41,N,36,37,36,6.19,0.48,-0.09,  F8IV,-0.1,-0.145,0.044,-14
18,,,,,,0,8,33.4,S,17,34,39,6.06,1.67,1.97,  M0III,0,-0.025,,-17
19,,,,,,0,8,52.2,N,25,27,46,6.23,0.97,0.73,  K0III,0.114,0.031,,15
20,,,,102,,0,9,20.2,N,79,42,53,6.01,0.19,0.1,  A7IV,0.102,-0.027,0.002,1
21,11,Bet,Cas,107,,0,9,10.7,N,59,8,59,2.27,0.34,0.11,  F2III-IV,0.525,-0.181,0.072,12
22,87,,Peg,,,0,9,2.4,N,18,12,43,5.53,1.04,,  G9III,0.137,-0.024,,-23
23,,,,,,0,9,2.4,S,54,0,7,6.33,0.74,0.39,  G4IV,0.051,0.016,0.009,1
24,,Kap1,Scl,111,,0,9,21,S,27,59,16,5.42,0.42,0.08,  F2V,0.072,-0.004,0.023,9
25,,Eps,Phe,,,0,9,24.7,S,45,44,51,3.88,1.03,0.84,  K0III,0.124,-0.181,0.066,-9
26,34,,Psc,122,,0,10,2.3,N,11,8,44,5.51,-0.07,-0.24,  B9Vn,0.041,-0.003,0.017,14
27,22,,And,,,0,10,19.3,N,46,4,20,5.03,0.4,0.25,  F2II,0.008,0,-0.002,-5
28,,,,,,0,10,29.7,N,57,9,56,6.74,-0.08,-0.41,  B7IV,0.023,0.006,,2
